timestamp,pressed_key,finger_name,hand_used,finger_x,finger_y,key_x1,key_y1,key_x2,key_y2,dx,dy,distance,norm_dx,norm_dy,norm_distance
1760943145.6695833,a,Pinky,Left,430,376,406,361,436,392,9,0,9.0,0.00703125,0.0,0.006128265495406987
1760943145.9039993,s,Ring,Left,449,368,442,360,470,391,-7,-7,9.899494936611665,-0.00546875,-0.009722222222222222,0.006740748137999272
1760943146.0326118,d,Middle,Left,499,368,478,358,505,388,8,-5,9.433981132056603,0.00625,-0.006944444444444444,0.0064237712284336695
1760943146.456211,f,Index,Left,535,377,514,356,541,387,8,6,10.0,0.00625,0.008333333333333333,0.006809183883785541
1760943147.231787,j,Index,Right,632,370,586,353,613,384,33,2,33.06055050963308,0.02578125,0.002777777777777778,0.022511536771927142
1760943147.3948574,k,Middle,Right,670,355,655,351,683,382,1,-11,11.045361017187261,0.00078125,-0.015277777777777777,0.007520989422882457
1760943151.2397578,q,Pinky,Left,408,362,396,326,427,357,-3,21,21.213203435596427,-0.00234375,0.029166666666666667,0.014444460295712726
