timestamp,pressed_key,finger_name,hand_used,finger_x,finger_y,key_x1,key_y1,key_x2,key_y2,dx,dy,distance,norm_dx,norm_dy,norm_distance
1760943227.325808,p,Pinky,Right,744,343,716,318,745,348,14,10,17.204650534085253,0.0109375,0.013888888888888888,0.011714962914285561
1760943227.58413,o,Ring,Right,705,325,682,320,709,349,10,-9,13.45362404707371,0.0078125,-0.0125,0.009160820003984391
1760943228.2738168,s,Ring,Left,468,381,444,367,473,398,10,-1,10.04987562112089,0.0078125,-0.001388888888888889,0.0068431451113385566
1760943229.1746473,e,Index,Left,536,349,506,329,534,359,16,5,16.76305461424021,0.0125,0.006944444444444444,0.01141427213223013
1760943232.7034667,y,Ring,Left,447,368,464,402,492,433,-31,-49,57.982756057296896,-0.02421875,-0.06805555555555555,0.039481524808281446
1760943239.8185978,w,Middle,Left,484,331,470,331,498,361,0,-15,15.0,0.0,-0.020833333333333332,0.010213775825678312
1760943241.4654398,u,Index,Right,623,373,577,325,606,355,32,33,45.967379738244816,0.025,0.04583333333333333,0.03130003412935066
1760943242.4132583,i,Middle,Right,661,330,648,322,675,351,0,-6,6.0,0.0,-0.008333333333333333,0.004085510330271325
1760943252.7460084,j,Index,Right,635,378,622,358,651,389,-1,5,5.0990195135927845,-0.00078125,0.006944444444444444,0.003472016149506398
1760943253.589776,k,Middle,Right,673,371,658,356,686,386,1,0,1.0,0.00078125,0.0,0.0006809183883785541
1760943254.080502,l,Ring,Right,707,368,693,354,721,384,0,-1,1.0,0.0,-0.001388888888888889,0.0006809183883785541
1760943255.8495233,p,Ring,Right,715,340,716,318,745,348,-15,7,16.55294535724685,-0.01171875,0.009722222222222222,0.011271204875574793
1760943257.2589002,p,Pinky,Right,730,336,716,318,745,348,0,3,3.0,0.0,0.004166666666666667,0.0020427551651356624
1760943257.8688064,o,Ring,Right,694,336,682,320,709,349,-1,2,2.23606797749979,-0.00078125,0.002777777777777778,0.00152257980354405
1760943258.4418411,i,Middle,Right,655,337,648,322,675,351,-6,1,6.082762530298219,-0.0046875,0.001388888888888889,0.004141864859020119
1760943259.465245,comma,Ring,Right,700,414,678,390,707,421,8,9,12.041594578792296,0.00625,0.0125,0.008199343174099184
1760943260.1669354,m,Middle,Right,663,402,641,392,671,424,7,-6,9.219544457292887,0.00546875,-0.008333333333333333,0.0062777573534443035
1760943261.6712704,n,Thumb,Left,582,444,570,396,600,427,-3,33,33.13608305156178,-0.00234375,0.04583333333333333,0.02256296826864737
1760943263.6696408,z,Middle,Left,510,386,542,327,569,357,-45,44,62.93647591023825,-0.03515625,0.06111111111111111,0.04285460374702512
1760943265.117826,z,Middle,Left,594,403,542,327,569,357,39,61,72.40165743959182,0.03046875,0.08472222222222223,0.04929961989970301
1760943266.000999,z,Middle,Left,588,393,542,327,569,357,33,51,60.74537019394976,0.02578125,0.07083333333333333,0.04136263957392293
1760943268.675414,z,Ring,Left,556,445,542,327,569,357,1,103,103.00485425454472,0.00078125,0.14305555555555555,0.07013789935417244
1760943269.6233587,z,Ring,Left,556,444,542,327,569,357,1,102,102.00490184299969,0.00078125,0.14166666666666666,0.06945701336964795
1760943303.4653542,a,Pinky,Left,431,383,445,367,473,398,-28,1,28.0178514522438,-0.021875,0.001388888888888889,0.01907787025669158
1760943304.1361296,s,Ring,Left,477,369,444,367,473,398,19,-13,23.021728866442675,0.01484375,-0.018055555555555554,0.015675918517426182
1760943305.8351731,d,Middle,Left,499,374,481,365,508,396,5,-6,7.810249675906654,0.00390625,-0.008333333333333333,0.005318142622152483
1760943306.0346158,f,Index,Left,532,383,517,364,544,394,2,4,4.47213595499958,0.0015625,0.005555555555555556,0.0030451596070881
1760943307.7251167,j,Index,Right,633,372,622,358,651,389,-3,-1,3.1622776601683795,-0.00234375,-0.001388888888888889,0.002153253007967358
1760943307.993369,k,Middle,Right,672,365,658,356,686,386,0,-6,6.0,0.0,-0.008333333333333333,0.004085510330271325
1760943308.3883116,l,Ring,Right,705,364,693,354,721,384,-2,-5,5.385164807134504,-0.0015625,-0.006944444444444444,0.0036668577416269334
