timestamp,pressed_key,finger_name,hand_used,finger_x,finger_y,key_x1,key_y1,key_x2,key_y2,dx,dy,distance,norm_dx,norm_dy,norm_distance,rule_based_label
1761264451.823517,m,middle,right,742,395,711,386,750,427,12,-11,16.278820596099706,0.009375,-0.015277777777777777,0.011084548284999825,Incorrect
1761264457.6035216,o,ring,right,794,320,765,297,804,335,10,4,10.770329614269007,0.0078125,0.005555555555555556,0.007333715483253867,Correct
1761264458.537086,n,index,right,694,392,667,386,705,427,8,-14,16.1245154965971,0.00625,-0.019444444444444445,0.010979479105327917,Correct
1761264459.4601908,k,middle,right,753,348,732,341,770,380,2,-12,12.165525060596439,0.0015625,-0.016666666666666666,0.008283729718040238,Correct
1761264460.8527877,e,middle,left,532,344,499,303,536,342,15,22,26.627053911388696,0.01171875,0.030555555555555555,0.018130850636611667,Correct
1761264461.9542413,y,pinky,left,431,367,447,392,483,431,-34,-44,55.60575509783138,-0.0265625,-0.06111111111111111,0.037862981145787906,Incorrect
1761264462.827905,space,thumb,left,624,461,511,431,792,478,-27,7,27.892651361962706,-0.02109375,0.009722222222222222,0.01899261921299253,Correct
1761264463.6726878,b,index,left,642,410,623,387,661,427,0,3,3.0,0.0,0.004166666666666667,0.0020427551651356624,Correct
1761264464.348703,a,pinky,left,451,364,423,348,459,388,10,-4,10.770329614269007,0.0078125,-0.005555555555555556,0.007333715483253867,Correct
1761264464.9929566,b,index,left,646,414,623,387,661,427,4,7,8.06225774829855,0.003125,0.009722222222222222,0.005489739552663958,Correct
1761264465.9953883,y,pinky,left,430,356,447,392,483,431,-35,-55,65.19202405202648,-0.02734375,-0.0763888888888889,0.044390447952641805,Incorrect
1761264466.5192535,space,thumb,left,623,462,511,431,792,478,-28,8,29.120439557122072,-0.021875,0.011111111111111112,0.019828642772110657,Correct
1761264467.4251785,e,middle,left,528,324,499,303,536,342,11,2,11.180339887498949,0.00859375,0.002777777777777778,0.007612899017720249,Correct
1761264467.9737976,x,ring,left,520,394,490,391,527,430,12,-16,20.0,0.009375,-0.022222222222222223,0.013618367767571082,Correct
1761264468.3947003,a,pinky,left,444,367,423,348,459,388,3,-1,3.1622776601683795,0.00234375,-0.001388888888888889,0.002153253007967358,Correct
1761264468.909259,m,index,right,705,398,711,386,750,427,-25,-8,26.248809496813376,-0.01953125,-0.011111111111111112,0.01787329705942585,Correct
1761264469.5195282,space,thumb,left,625,458,511,431,792,478,-26,4,26.30589287593181,-0.0203125,0.005555555555555556,0.017912166181938378,Correct
1761264469.8167017,s,ring,left,495,358,467,348,504,386,10,-9,13.45362404707371,0.0078125,-0.0125,0.009160820003984391,Correct
1761264470.1713789,o,ring,right,787,324,765,297,804,335,3,8,8.54400374531753,0.00234375,0.011111111111111112,0.005817769260561943,Correct
1761264470.4945145,n,index,right,697,390,667,386,705,427,11,-16,19.4164878389476,0.00859375,-0.022222222222222223,0.013221043607267995,Correct
1761264470.8555207,g,index,left,632,374,600,344,637,383,14,11,17.804493814764857,0.0109375,0.015277777777777777,0.01212340723424562,Correct
1761264471.1517909,space,thumb,left,626,459,511,431,792,478,-25,5,25.495097567963924,-0.01953125,0.006944444444444444,0.017360080747531988,Correct
1761264471.6389155,i,middle,right,741,337,721,298,758,336,2,20,20.09975124224178,0.0015625,0.027777777777777776,0.013686290222677113,Correct
1761264471.9940636,n,index,right,693,390,667,386,705,427,7,-16,17.46424919657298,0.00546875,-0.022222222222222223,0.011891728417171931,Correct
1761264472.2523727,space,thumb,left,623,457,511,431,792,478,-28,3,28.160255680657446,-0.021875,0.004166666666666667,0.019174835914401292,Correct
1761264475.9252374,q,pinky,left,418,326,410,304,446,344,-10,2,10.198039027185569,-0.0078125,0.002777777777777778,0.006944032299012796,Correct
