timestamp,pressed_key,finger_name,hand_used,finger_x,finger_y,key_x1,key_y1,key_x2,key_y2,dx,dy,distance,norm_dx,norm_dy,norm_distance
1760943163.8563504,a,Pinky,Left,424,385,406,361,435,392,4,9,9.848857801796104,0.003125,0.0125,0.006706268381768552
1760943164.1171365,s,Ring,Left,438,367,442,360,470,391,-18,-8,19.697715603592208,-0.0140625,-0.011111111111111112,0.013412536763537104
1760943164.4083571,d,Middle,Left,496,360,478,358,506,388,4,-13,13.601470508735444,0.003125,-0.018055555555555554,0.00926149137838657
1760943164.6644685,f,Index,Left,530,371,514,357,541,387,3,-1,3.1622776601683795,0.00234375,-0.001388888888888889,0.002153253007967358
1760943166.2649322,z,Index,Right,631,374,574,319,602,349,43,40,58.728187440104094,0.03359375,0.05555555555555555,0.03998910274410932
1760943178.9864612,z,Middle,Left,546,370,574,319,602,349,-42,36,55.31726674375732,-0.0328125,0.05,0.03766654412066582
1760943180.7042983,x,Ring,Left,477,404,460,394,489,425,3,-5,5.830951894845301,0.00234375,-0.006944444444444444,0.003970402366950938
1760943181.450316,c,Middle,Left,512,406,496,393,524,424,2,-2,2.8284271247461903,0.0015625,-0.002777777777777778,0.0019259280394283635
1760943182.328203,v,Index,Left,545,407,532,391,560,422,-1,1,1.4142135623730951,-0.00078125,0.001388888888888889,0.0009629640197141817
1760943185.1454873,b,Index,Right,604,405,568,390,596,421,22,0,22.0,0.0171875,0.0,0.01498020454432819
1760943186.905281,n,Middle,Right,622,400,603,389,632,420,5,-4,6.4031242374328485,0.00390625,-0.005555555555555556,0.004360005036340433
1760943187.6881082,m,Middle,Right,653,395,638,387,668,418,0,-7,7.0,0.0,-0.009722222222222222,0.004766428718649879
1760943188.5215006,comma,Ring,Right,689,394,674,386,703,416,1,-7,7.0710678118654755,0.00078125,-0.009722222222222222,0.004814820098570908
1760943191.049504,z,Index,Left,564,391,574,319,602,349,-24,57,61.84658438426491,-0.01875,0.07916666666666666,0.04211247656565191
1760943191.9788861,z,Middle,Left,559,355,574,319,602,349,-29,21,35.805027579936315,-0.02265625,0.029166666666666667,0.024380301675579915
1760943193.9317353,z,Index,Left,557,384,574,319,602,349,-31,50,58.83026432033091,-0.02421875,0.06944444444444445,0.04005860876888408
1760943197.2278545,z,Index,Right,643,403,574,319,602,349,55,69,88.23831367382311,0.04296875,0.09583333333333334,0.06008309034002097
1760943198.5806751,z,Index,Right,643,403,574,319,602,349,55,69,88.23831367382311,0.04296875,0.09583333333333334,0.06008309034002097
1760943199.2499955,z,Index,Right,644,404,574,319,602,349,56,70,89.64373932405988,0.04375,0.09722222222222222,0.061040070508766066
1760943199.765356,z,Index,Right,642,404,574,319,602,349,54,70,88.40814442120137,0.0421875,0.09722222222222222,0.060198731218822896
1760943200.217151,z,Index,Right,642,404,574,319,602,349,54,70,88.40814442120137,0.0421875,0.09722222222222222,0.060198731218822896
1760943200.6013129,z,Index,Right,641,404,574,319,602,349,53,70,87.80091115700337,0.04140625,0.09722222222222222,0.05978525492319534
1760943201.0817692,z,Index,Right,642,404,574,319,602,349,54,70,88.40814442120137,0.0421875,0.09722222222222222,0.060198731218822896
1760943201.6559682,z,Index,Right,642,404,574,319,602,349,54,70,88.40814442120137,0.0421875,0.09722222222222222,0.060198731218822896
1760943203.142417,z,Middle,Right,676,367,574,319,602,349,88,33,93.98404119849285,0.06875,0.04583333333333333,0.06399546186618138
1760943206.0736501,z,Middle,Right,662,474,574,319,602,349,74,140,158.35403373454054,0.0578125,0.19444444444444445,0.10782617344376653
1760943206.874483,z,Middle,Right,659,476,574,319,602,349,71,142,158.76082640248507,0.05546875,0.19722222222222222,0.10810316605162754
1760943207.3888218,z,Pinky,Left,434,416,574,319,602,349,-154,82,174.4706279005151,-0.1203125,0.11388888888888889,0.11880025876941314
1760943209.3794363,a,Pinky,Left,423,376,406,361,435,392,3,0,3.0,0.00234375,0.0,0.0020427551651356624
1760943210.345361,s,Ring,Left,466,366,442,360,470,391,10,-9,13.45362404707371,0.0078125,-0.0125,0.009160820003984391
1760943211.0489347,d,Middle,Left,504,373,478,358,506,388,12,0,12.0,0.009375,0.0,0.00817102066054265
1760943212.2332146,z,Middle,Left,550,371,574,319,602,349,-38,37,53.03772242470448,-0.0296875,0.05138888888888889,0.03611436047669887
1760943213.800316,q,Pinky,Left,411,342,396,326,426,357,0,1,1.0,0.0,0.001388888888888889,0.0006809183883785541
