timestamp,pressed_key,finger_name,hand_used,finger_x,finger_y,key_x1,key_y1,key_x2,key_y2,dx,dy,distance,norm_dx,norm_dy,norm_distance
1760943327.0194705,a,Ring,Left,466,366,444,367,473,398,8,-16,17.88854381999832,0.00625,-0.022222222222222223,0.0121806384283524
1760943328.0272934,w,Middle,Left,485,344,471,330,499,361,0,-1,1.0,0.0,-0.001388888888888889,0.0006809183883785541
1760943328.2812936,e,Index,Left,536,359,506,329,534,359,16,15,21.93171219946131,0.0125,0.020833333333333332,0.014933706125239468
