timestamp,pressed_key,finger_name,hand_used,finger_x,finger_y,key_x1,key_y1,key_x2,key_y2,dx,dy,distance,norm_dx,norm_dy,norm_distance,rule_based_label
1761264310.727342,e,middle,left,532,348,500,302,536,341,14,27,30.4138126514911,0.0109375,0.0375,0.020709324295100598,Correct
1761264311.5760965,a,pinky,left,448,372,424,348,459,388,7,4,8.06225774829855,0.00546875,0.005555555555555556,0.005489739552663958,Correct
1761264312.3889782,t,index,left,603,339,589,301,625,338,-4,20,20.396078054371138,-0.003125,0.027777777777777776,0.013888064598025591,Correct
1761264313.1650858,space,thumb,left,634,460,512,431,792,477,-18,6,18.973665961010276,-0.0140625,0.008333333333333333,0.012919518047804147,Correct
1761264313.7471302,w,ring,left,479,330,455,303,491,343,6,7,9.219544457292887,0.0046875,0.009722222222222222,0.0062777573534443035,Correct
1761264314.4008653,a,pinky,left,440,361,424,348,459,388,-1,-7,7.0710678118654755,-0.00078125,-0.009722222222222222,0.004814820098570908,Correct
1761264314.9571455,y,pinky,left,433,360,447,392,483,432,-32,-52,61.05735008989499,-0.025,-0.07222222222222222,0.04157507242187646,Incorrect
1761264316.1928995,space,thumb,left,622,463,512,431,792,477,-30,9,31.32091952673165,-0.0234375,0.0125,0.0213269900466765,Correct
1761264316.9870825,o,ring,right,797,329,765,297,804,335,13,13,18.384776310850235,0.01015625,0.018055555555555554,0.01251853225628436,Correct
1761264317.7880793,f,index,left,580,368,556,345,592,384,6,4,7.211102550927978,0.0046875,0.005555555555555556,0.004910172327410359,Correct
1761264318.4642708,f,index,left,585,367,556,345,592,384,11,3,11.40175425099138,0.00859375,0.004166666666666667,0.0077636641292733784,Correct
1761264319.1401722,space,thumb,left,624,462,512,431,792,477,-28,8,29.120439557122072,-0.021875,0.011111111111111112,0.019828642772110657,Correct
1761264319.6914492,c,middle,left,552,401,535,389,571,429,-1,-8,8.06225774829855,-0.00078125,-0.011111111111111112,0.005489739552663958,Correct
1761264320.3014157,a,pinky,left,438,363,424,348,459,388,-3,-5,5.830951894845301,-0.00234375,-0.006944444444444444,0.003970402366950938,Correct
1761264320.8509824,r,index,left,579,343,544,301,581,340,17,23,28.600699292150182,0.01328125,0.03194444444444444,0.019474742068510555,Correct
1761264321.71996,space,thumb,left,627,464,512,431,792,477,-25,10,26.92582403567252,-0.01953125,0.013888888888888888,0.018334288708134666,Correct
1761264326.4479644,q,ring,left,429,321,410,304,446,344,1,-3,3.1622776601683795,0.00078125,-0.004166666666666667,0.002153253007967358,Incorrect
