timestamp,pressed_key,finger_name,hand_used,finger_x,finger_y,key_x1,key_y1,key_x2,key_y2,dx,dy,distance,norm_dx,norm_dy,norm_distance
1760940971.552029,a,Ring,Left,339,365,279,321,329,372,35,19,39.824615503479755,0.02734375,0.02638888888888889,0.027117313006425014
1760940971.8717387,s,Ring,Left,341,359,334,321,383,371,-17,13,21.400934559032695,-0.01328125,0.018055555555555554,0.014572289869731445
1760940972.2196155,d,Middle,Left,416,335,387,321,437,370,4,-10,10.770329614269007,0.003125,-0.013888888888888888,0.007333715483253867
1760940972.473165,f,Index,Left,466,352,442,320,491,369,0,8,8.0,0.0,0.011111111111111112,0.005447347107028433
1760940973.6655288,j,Index,Right,641,353,606,317,655,367,11,11,15.556349186104045,0.00859375,0.015277777777777777,0.010592604216855999
1760940973.8772767,k,Middle,Right,719,347,659,316,710,366,35,6,35.510561809129406,0.02734375,0.008333333333333333,0.024179794517489427
1760940974.4849753,l,Ring,Right,765,342,715,316,765,366,25,1,25.019992006393608,0.01953125,0.001388888888888889,0.017036572634237843
1760941002.421816,a,Pinky,Left,318,353,279,321,329,372,14,7,15.652475842498529,0.0109375,0.009722222222222222,0.010658058624808349
1760941004.6523397,a,Pinky,Left,317,351,279,321,329,372,13,5,13.92838827718412,0.01015625,0.006944444444444444,0.009484095698410955
1760941007.1263244,s,Middle,Left,388,342,334,321,383,371,30,-4,30.265491900843113,0.0234375,-0.005555555555555556,0.020608329968606273
1760941009.0864654,s,Ring,Left,355,363,334,321,383,371,-3,17,17.26267650163207,-0.00234375,0.02361111111111111,0.011754473862591644
1760941013.4234343,d,Middle,Left,422,342,387,321,437,370,10,-3,10.44030650891055,0.0078125,-0.004166666666666667,0.0071089966822255
1760941014.824712,f,Index,Left,474,349,442,320,491,369,8,5,9.433981132056603,0.00625,0.006944444444444444,0.0064237712284336695
1760941016.2943547,a,Pinky,Left,300,374,279,321,329,372,-4,28,28.284271247461902,-0.003125,0.03888888888888889,0.019259280394283634
1760941017.223509,s,Ring,Left,365,341,334,321,383,371,7,-5,8.602325267042627,0.00546875,-0.006944444444444444,0.0058574814571427805
1760941019.844961,j,Index,Right,633,341,606,317,655,367,3,-1,3.1622776601683795,0.00234375,-0.001388888888888889,0.002153253007967358
1760941021.2217548,k,Middle,Right,688,332,659,316,710,366,4,-9,9.848857801796104,0.003125,-0.0125,0.006706268381768552
1760941022.5848308,l,Ring,Right,739,332,715,316,765,366,-1,-9,9.055385138137417,-0.00078125,-0.0125,0.006165978254407641
1760941035.9129384,q,Pinky,Left,314,295,267,269,318,318,22,2,22.090722034374522,0.0171875,0.002777777777777778,0.015041978845764914
1760941038.2742982,w,Ring,Left,345,318,321,268,370,317,0,26,26.0,0.0,0.03611111111111111,0.017703878097842407
1760941039.3995166,e,Middle,Left,415,307,375,268,425,317,15,15,21.213203435596427,0.01171875,0.020833333333333332,0.014444460295712726
1760941040.2093496,r,Index,Left,458,295,428,267,478,316,5,4,6.4031242374328485,0.00390625,0.005555555555555556,0.004360005036340433
1760941041.887897,t,Thumb,Left,509,310,482,267,532,315,2,19,19.1049731745428,0.0015625,0.02638888888888889,0.013008927544025191
1760941042.534179,space,Thumb,Left,516,419,409,427,705,482,-41,-35,53.907327887774215,-0.03203125,-0.04861111111111111,0.036706490827137506
1760941044.212512,space,Thumb,Right,650,498,409,427,705,482,93,44,102.88342918079665,0.07265625,0.06111111111111111,0.07005521878864716
