timestamp,pressed_key,finger_name,hand_used,finger_x,finger_y,key_x1,key_y1,key_x2,key_y2,dx,dy,distance,norm_dx,norm_dy,norm_distance
1760699951.6371858,r,Middle,Left,431,309,392,291,439,341,16,-7,17.46424919657298,0.0125,-0.009722222222222222,0.011891728417171931
1760699952.6559873,e,Ring,Left,358,292,329,293,376,343,6,-26,26.68332812825267,0.0046875,-0.03611111111111111,0.01816916878566595
1760699953.3830462,w,Pinky,Left,276,339,267,294,313,345,-14,20,24.413111231467404,-0.0109375,0.027777777777777776,0.016623336355037162
1760699955.8437028,d,Ring,Left,392,347,344,354,390,405,25,-32,40.607881008493905,0.01953125,-0.044444444444444446,0.027650652891771765
1760699956.9189377,f,Middle,Left,457,348,407,352,453,403,27,-29,39.6232255123179,0.02109375,-0.04027777777777778,0.026980182858207514
1760699957.6183264,s,Pinky,Left,312,373,282,355,327,407,8,-8,11.313708498984761,0.00625,-0.011111111111111112,0.007703712157713454
1760699961.1165466,c,Ring,Left,410,397,374,415,422,468,12,-44,45.60701700396552,0.009375,-0.06111111111111111,0.031054656517093514
1760699961.5992548,v,Middle,Left,481,399,438,413,486,467,19,-41,45.18849411078001,0.01484375,-0.05694444444444444,0.03076967658316611
1760699962.185455,x,Pinky,Left,336,419,311,417,358,469,2,-24,24.08318915758459,0.0015625,-0.03333333333333333,0.01639868634819837
